league,season,team,game,date,time,result,GF,GA,opponent,xG,xGA,Poss,Formation,"('Performance', 'SoTA')","('Performance', 'GA')","('Performance', 'Saves')","('Performance', 'Save%')","('Performance', 'CS')","('Performance', 'PSxG')","('Performance', 'PSxG+/-')","('Penalty Kicks', 'PKatt')","('Penalty Kicks', 'PKA')","('Penalty Kicks', 'PKsv')","('Penalty Kicks', 'PKm')","('Launched', 'Cmp')","('Launched', 'Att')","('Launched', 'Cmp%')","('Passes', 'Att (GK)')","('Passes', 'Thr')","('Passes', 'Launch%')","('Passes', 'AvgLen')","('Goal Kicks', 'Att')","('Goal Kicks', 'Launch%')","('Goal Kicks', 'AvgLen')","('Crosses', 'Opp')","('Crosses', 'Stp')","('Crosses', 'Stp%')","('Sweeper', '#OPA')","('Sweeper', 'AvgDist')","('Standard', 'Gls')","('Standard', 'Sh')","('Standard', 'SoT')","('Standard', 'SoT%')","('Standard', 'G/Sh')","('Standard', 'G/SoT')","('Standard', 'Dist')","('Standard', 'FK')","('Standard', 'PK')","('Standard', 'PKatt')","('Expected', 'xG')","('Expected', 'npxG')","('Expected', 'npxG/Sh')","('Expected', 'G-xG')","('Expected', 'np:G-xG')","('Total', 'Cmp')","('Total', 'Att')","('Total', 'Cmp%')","('Total', 'TotDist')","('Total', 'PrgDist')","('Short', 'Cmp')","('Short', 'Att')","('Short', 'Cmp%')","('Medium', 'Cmp')","('Medium', 'Att')","('Medium', 'Cmp%')","('Long', 'Cmp')","('Long', 'Att')","('Long', 'Cmp%')","('Ast', '')","('xAG', '')","('xA', '')","('KP', '')","('1/3', '')","('PPA', '')","('CrsPA', '')","('PrgP', '')","('Att', '')","('Pass Types', 'Live')","('Pass Types', 'Dead')","('Pass Types', 'FK')","('Pass Types', 'TB')","('Pass Types', 'Sw')","('Pass Types', 'Crs')","('Pass Types', 'TI')","('Pass Types', 'CK')","('Corner Kicks', 'In')","('Corner Kicks', 'Out')","('Corner Kicks', 'Str')","('Outcomes', 'Cmp')","('Outcomes', 'Off')","('Outcomes', 'Blocks')","('SCA Types', 'SCA')","('SCA Types', 'PassLive')","('SCA Types', 'PassDead')","('SCA Types', 'TO')","('SCA Types', 'Sh')","('SCA Types', 'Fld')","('SCA Types', 'Def')","('GCA Types', 'GCA')","('GCA Types', 'PassLive')","('GCA Types', 'PassDead')","('GCA Types', 'TO')","('GCA Types', 'Sh')","('GCA Types', 'Fld')","('GCA Types', 'Def')","('Tackles', 'Tkl')","('Tackles', 'TklW')","('Tackles', 'Def 3rd')","('Tackles', 'Mid 3rd')","('Tackles', 'Att 3rd')","('Challenges', 'Tkl')","('Challenges', 'Att')","('Challenges', 'Tkl%')","('Challenges', 'Lost')","('Blocks', 'Blocks')","('Blocks', 'Sh')","('Blocks', 'Pass')","('Int', '')","('Tkl+Int', '')","('Clr', '')","('Err', '')","('Poss', '')","('Touches', 'Touches')","('Touches', 'Def Pen')","('Touches', 'Def 3rd')","('Touches', 'Mid 3rd')","('Touches', 'Att 3rd')","('Touches', 'Att Pen')","('Touches', 'Live')","('Take-Ons', 'Att')","('Take-Ons', 'Succ')","('Take-Ons', 'Succ%')","('Take-Ons', 'Tkld')","('Take-Ons', 'Tkld%')","('Carries', 'Carries')","('Carries', 'TotDist')","('Carries', 'PrgDist')","('Carries', 'PrgC')","('Carries', '1/3')","('Carries', 'CPA')","('Carries', 'Mis')","('Carries', 'Dis')","('Receiving', 'Rec')","('Receiving', 'PrgR')","('Performance', 'CrdY')","('Performance', 'CrdR')","('Performance', '2CrdY')","('Performance', 'Fls')","('Performance', 'Fld')","('Performance', 'Off')","('Performance', 'Crs')","('Performance', 'Int')","('Performance', 'TklW')","('Performance', 'PKwon')","('Performance', 'PKcon')","('Performance', 'OG')","('Performance', 'Recov')","('Aerial Duels', 'Won')","('Aerial Duels', 'Lost')","('Aerial Duels', 'Won%')"
,2425,Atlanta Utd,2024-02-24 Crew-Atlanta Utd,2024-02-24,14:00:00,L,0,1,Crew,0.5,1.8,52,4-2-3-1,3,1,1,66.7,0,1.2,0.2,1,0,1,0,5,12,41.7,39,5,30.8,31.7,5,0.0,17.4,5,0,0.0,3,17.7,0,8,2,25.0,0.0,0.0,20.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,494,584,84.6,8916,3124,207,227,91.2,227,247,91.9,50,81,61.7,0,0.5,0.4,7,30,5,3,34,584,540,42,15,3,3,14,18,2,1,1,0,494,2,11,12,10,1,0,1,0,0,0,0,0,0,0,0,0,23,15,10,10,3,15,24,62.5,9,18,6,12,9,32,15,1,52,690,75,261,310,125,14,690,18,8,44.4,8,44.4,316,1360,693,15,6,4,11,12,489,34,2,0,0,13,7,2,14,9,15,0,1,0,42,6,5,54.5
,2425,Atlanta Utd,2024-03-09 Atlanta Utd-NE Revolution,2024-03-09,19:30:00,W,4,1,NE Revolution,3.2,0.7,45,4-2-3-1,5,1,4,80.0,0,1.0,0.0,0,0,0,0,6,12,50.0,28,3,35.7,33.9,8,25.0,27.3,6,1,16.7,0,9.0,4,19,7,36.8,0.11,0.29,18.8,0,2,2,3.2,1.6,0.09,0.8,0.4,354,436,81.2,6160,2292,167,182,91.8,147,174,84.5,35,62,56.5,1,1.5,1.5,17,22,11,1,37,436,395,41,7,3,2,15,21,3,2,1,0,354,0,8,35,28,1,2,2,1,1,5,3,0,0,1,1,0,16,9,7,6,3,3,8,37.5,5,6,2,4,7,23,9,0,45,526,54,166,225,144,38,524,17,10,58.8,6,35.3,309,1956,1166,31,19,7,14,3,351,37,0,0,0,15,8,0,15,7,9,1,0,0,44,8,5,61.5
,2425,Atlanta Utd,2024-03-17 Atlanta Utd-Orlando City,2024-03-17,19:00:00,W,2,0,Orlando City,0.8,0.5,43,4-2-3-1,3,0,3,100.0,1,0.6,0.6,0,0,0,0,10,18,55.6,35,6,31.4,33.7,12,58.3,48.4,18,0,0.0,0,5.5,2,13,7,53.8,0.15,0.29,15.3,0,0,0,0.8,0.8,0.07,1.2,1.2,359,431,83.3,7196,2917,141,156,90.4,164,182,90.1,52,83,62.7,2,0.7,1.0,10,27,8,3,32,431,398,32,7,1,1,12,7,5,2,3,0,359,1,6,24,17,4,1,2,0,0,3,3,0,0,0,0,0,14,8,10,3,1,10,23,43.5,13,12,3,9,7,21,30,0,43,544,84,248,208,91,28,544,20,10,50.0,9,45.0,272,1508,740,16,6,9,9,8,353,32,5,0,0,16,6,1,12,7,8,0,0,0,42,13,7,65.0
,2425,Atlanta Utd,2024-03-23 Toronto FC-Atlanta Utd,2024-03-23,19:30:00,L,0,2,Toronto FC,0.4,2.4,55,3-4-3,9,2,7,77.8,0,2.6,0.6,0,0,0,0,6,12,50.0,49,3,16.3,30.6,14,28.6,29.5,10,0,0.0,1,21.5,0,8,3,37.5,0.0,0.0,16.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,472,584,80.8,8394,3017,197,222,88.7,217,254,85.4,41,80,51.3,0,0.4,0.7,6,27,2,2,31,584,519,64,15,0,0,20,25,7,1,5,0,472,1,12,13,7,3,1,0,2,0,0,0,0,0,0,0,0,24,14,14,9,1,17,32,53.1,15,8,2,6,7,31,15,0,55,699,106,298,300,102,22,699,13,7,53.8,6,46.2,414,1779,722,13,6,6,27,8,469,30,0,0,0,8,14,1,20,7,14,0,0,0,49,10,17,37.0
,2425,Atlanta Utd,2024-03-31 Atlanta Utd-Fire,2024-03-31,15:30:00,W,3,0,Fire,2.7,0.7,51,4-2-3-1,3,0,3,100.0,1,0.7,0.7,0,0,0,0,4,8,50.0,32,8,25.0,28.6,5,0.0,24.4,12,0,0.0,0,9.5,3,21,7,33.3,0.14,0.43,13.6,0,0,0,2.7,2.7,0.13,0.3,0.3,456,536,85.1,7804,2772,201,217,92.6,183,203,90.1,50,70,71.4,1,1.4,1.3,15,26,11,4,39,536,494,40,7,1,4,16,24,3,0,3,0,456,2,12,35,25,2,4,4,0,0,6,4,0,1,1,0,0,12,10,3,5,4,2,10,20.0,8,13,4,9,7,19,28,2,51,660,72,227,247,188,36,660,28,13,46.4,15,53.6,355,1812,1005,24,10,6,12,6,455,39,2,0,0,8,5,2,16,7,10,0,0,0,49,11,5,68.8
,2425,Atlanta Utd,2024-04-06 NYCFC-Atlanta Utd,2024-04-06,19:30:00,D,1,1,NYCFC,1.9,2.4,47,4-2-3-1,3,1,2,100.0,0,1.1,0.1,1,1,0,0,13,29,44.8,40,2,50.0,41.0,16,56.3,38.1,16,0,0.0,0,10.5,1,18,6,33.3,0.06,0.17,14.8,1,0,0,1.9,1.9,0.11,-0.9,-0.9,317,422,75.1,6325,2556,144,168,85.7,122,149,81.9,51,92,55.4,1,1.3,1.4,10,18,11,5,40,422,365,55,13,0,4,15,19,5,1,4,0,317,2,9,24,18,2,1,1,2,0,2,2,0,0,0,0,0,25,15,12,11,2,14,21,66.7,7,19,7,12,9,34,27,1,47,556,99,219,209,133,30,556,12,5,41.7,7,58.3,263,1411,764,13,12,7,18,7,315,40,1,0,0,11,13,2,15,9,15,0,1,0,48,13,13,50.0
,2425,Atlanta Utd,2024-04-14 Atlanta Utd-Philadelphia,2024-04-14,14:30:00,D,2,2,Philadelphia,1.6,1.1,62,4-2-3-1,4,2,2,50.0,0,1.1,-0.9,0,0,0,0,3,5,60.0,25,2,20.0,29.0,5,0.0,20.6,12,1,8.3,1,16.3,2,19,6,31.6,0.11,0.33,17.6,0,0,0,1.6,1.6,0.09,0.4,0.4,431,528,81.6,7560,2644,201,219,91.8,175,205,85.4,46,72,63.9,2,1.6,1.4,18,29,7,2,41,528,480,44,10,2,10,24,19,7,4,1,0,431,4,13,38,27,4,4,1,2,0,4,4,0,0,0,0,0,16,9,5,7,4,11,15,73.3,4,13,7,6,6,22,19,1,62,630,57,200,238,202,29,630,22,14,63.6,6,27.3,373,2220,1282,28,19,9,13,21,427,41,2,0,0,11,8,4,24,6,9,0,0,0,50,16,17,48.5
,2425,Atlanta Utd,2024-04-20 Atlanta Utd-FC Cincinnati,2024-04-20,19:30:00,L,1,2,FC Cincinnati,1.9,2.0,58,4-2-3-1,3,2,1,33.3,0,1.9,-0.1,0,0,0,0,7,11,63.6,39,3,25.6,33.3,12,8.3,11.9,6,0,0.0,1,21.3,1,16,4,25.0,0.06,0.25,16.6,0,0,0,1.9,1.9,0.12,-0.9,-0.9,479,584,82.0,9416,3205,173,197,87.8,236,270,87.4,63,93,67.7,1,1.1,0.8,11,47,15,4,58,584,536,47,9,0,7,30,14,9,4,4,0,479,1,15,29,22,4,1,1,1,0,2,2,0,0,0,0,0,24,14,13,10,1,13,22,59.1,9,12,3,9,11,35,12,0,58,705,80,242,298,171,29,705,21,6,28.6,13,61.9,444,2183,1208,25,13,5,19,5,471,58,1,0,0,12,8,1,30,11,14,0,0,0,57,7,11,38.9
,2425,Atlanta Utd,2024-04-27 Fire-Atlanta Utd,2024-04-27,19:30:00,D,0,0,Fire,1.3,1.0,63,4-2-3-1,0,0,0,,1,0.0,0.0,0,0,0,0,5,9,55.6,29,2,24.1,30.5,10,20.0,19.0,13,0,0.0,1,21.0,0,18,5,27.8,0.0,0.0,18.2,1,0,0,1.3,1.3,0.07,-1.3,-1.3,555,649,85.5,10169,3341,228,255,89.4,264,294,89.8,54,79,68.4,0,1.1,1.7,12,40,8,4,56,649,602,45,9,1,7,27,17,8,4,3,0,555,2,7,29,21,2,1,2,2,1,0,0,0,0,0,0,0,15,9,8,7,0,8,11,72.7,3,10,4,6,7,22,21,0,63,754,57,227,345,189,27,754,23,13,56.5,8,34.8,376,2204,1271,32,17,10,14,6,552,55,3,0,0,6,9,2,27,7,9,0,0,0,45,12,11,52.2
,2425,Atlanta Utd,2024-05-04 Atlanta Utd-Minnesota Utd,2024-05-04,19:30:00,L,1,2,Minnesota Utd,1.7,0.5,68,4-4-2,5,2,3,60.0,0,0.9,-1.1,0,0,0,0,5,10,50.0,35,6,28.6,30.2,4,0.0,20.0,11,1,9.1,4,19.2,1,17,4,23.5,0.06,0.25,14.3,1,0,0,1.7,1.7,0.1,-0.7,-0.7,455,581,78.3,8780,3309,172,191,90.1,196,227,86.3,72,122,59.0,1,1.6,2.0,13,35,8,3,47,581,516,61,14,3,7,37,27,13,7,5,0,455,4,18,30,22,5,0,0,3,0,2,2,0,0,0,0,0,16,11,7,6,3,6,13,46.2,7,11,5,6,9,25,14,1,68,697,54,240,286,173,29,697,17,8,47.1,8,47.1,255,1603,775,19,9,4,15,4,446,46,1,0,0,8,11,4,37,9,11,0,0,0,47,19,15,55.9
